Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, HRSG21, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, HRSG22, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, 
