Time,จุดตรวจววัด,วันที่,เวลา,SOx(ppm),NOx(ppm),O2(%),
2022-11-20 23:16:09, HOT OIL, 2022-11-20, 22:00:00, 1.66, 22.82, 3.26, 
2022-11-20 23:16:09, PACOL, 2022-11-20, 22:00:00, 1.13, 20.39, 2.69, 
