Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),CO(ppm),
2022-11-20 23:16:09, GT1, 2022-11-20, 22:00:00, 27.77, 63.12, 
2022-11-20 23:16:09, GT2, 2022-11-20, 22:00:00, 33.12, 55.81, 
