Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, Unit 11, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, Unit 21, 2022-11-20, 22:00:00, 22.05, 12.57, 
