Time,จุดตรวจววัด,วันที่,เวลา,SO2(ppm),NOx(ppm),CO(ppm),O2(%),Temp.(°C),Particulate(mg/m3),
2022-11-20 23:16:09, Stack 1, 2022-11-18, 17:00:00, 0, 0, 0, 0, ERR, ERR, 
2022-11-20 23:16:09, Stack 2, 2022-11-18, 17:00:00, 0, 0, 0, 0, ERR, ERR, 
2022-11-20 23:16:09, Stack 3, 2022-11-18, 17:00:00, 0, 0, 0, 0, ERR, ERR, 
