Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),Particulate(mg/m3),
2022-11-20 23:16:09, Stack1/2, 2022-11-20, 22:00:00, 0, 0, 0, 
2022-11-20 23:16:09, Stack2/2, 2022-11-20, 22:00:00, 18.96, 0.57, 0.3, 
