Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),CO(ppm),Temp.(°C),Flow(m3/hr),
2022-11-20 23:16:09, HRSG 11, 2022-11-20, 22:00:00, 1.76, 17.27, 91.96, 13.95, MA, 
2022-11-20 23:16:09, HRSG 12, 2022-11-20, 22:00:00, 0, 0.39, 92.21, 13.81, MA, 
2022-11-20 23:16:09, HRSG 21, 2022-11-20, 22:00:00, 6.2, 10.88, 103.22, 13.4, MA, 
2022-11-20 23:16:09, HRSG 22, 2022-11-20, 22:00:00, 9.85, 46.83, 96.6, 14.19, MA, 
