Time,จุดตรวจววัด,วันที่,เวลา,O2(%),Opacity(%),SO2(ppm),CO(ppm),NOx(ppm),
2022-11-20 23:16:09, NPS7, 2022-11-20, 22:00:00, DEF, DEF, DEF, DEF, DEF, 
2022-11-20 23:16:09, NPS8, 2022-11-20, 22:00:00, 4.75, 19.06, 568.12, 13.81, 141.39, 
