Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),CO(ppm),
2022-11-20 23:16:09, GT1, 2022-11-20, 22:00:00, 22.74, 89.93, 
2022-11-20 23:16:09, GT2, 2022-11-20, 22:00:00, 21.39, 78.63, 
