Time,จุดตรวจววัด,วันที่,เวลา,CO(ppm),NOx(ppm),O2(%),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 29.51, 66.08, 15.22, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, 19.77, 49.24, 15.34, 
