Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),Particulate(mg/m3),O2(%),
2022-11-20 23:16:09, 1, 2022-11-20, 22:00:00, 34.94, 2.35, 1.66, 13.94, 
2022-11-20 23:16:09, 2, 2022-11-20, 22:00:00, 35.33, 1.03, 2.48, 13.08, 
