Time,จุดตรวจววัด,วันที่,เวลา,Particulate(mg/m3),SO2(ppm),NOx(ppm),CO(ppm),CO2(ppm),HCl(mg/m3),O2(%),Temp.(°C),
2022-11-20 23:16:09, CGTH1, -, -, -, -, -, -, -, -, -, -, 
2022-11-20 23:16:09, CGTH2, 2022-11-20, 22:00:00, 0.62, 4.2, 42.3, 51.1, 89347.6, 11.1, 15.2, 136.1, 
