Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, NB-C11, 2022-11-20, 22:00:00, 41.22, 12.87, 
2022-11-20 23:16:09, NB-C12, 2022-11-20, 22:00:00, 38.72, 12.77, 
