Time,จุดตรวจววัด,วันที่,เวลา,SO2(ppm),NOx(ppm),O2(%),
2022-11-20 23:16:09, CDU3, 2022-11-20, 22:00:00, 522.85, 47.05, 3.95, 
2022-11-20 23:16:09, HCU2, 2022-11-20, 22:00:00, 697.54, 95.02, 7.25, 
2022-11-20 23:16:09, CCR1, 2022-11-20, 22:00:00, 150.23, 26.38, 3.13, 
2022-11-20 23:16:09, TGTU, 2022-11-20, 22:00:00, 269.89, 6.79, 
2022-11-20 23:16:09, GHDS, 2022-11-20, 22:00:00, 51.25, 6.88, 
