Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, NPO-C11, 2022-11-20, 22:00:00, 0, 0, 
2022-11-20 23:16:09, NPO-C12, 2022-11-20, 22:00:00, 243.55, 15.24, 
2022-11-20 23:16:09, NPO-C21, 2022-11-20, 22:00:00, 241.33, 15.24, 
2022-11-20 23:16:09, NPO-C22, 2022-11-20, 22:00:00, 239.73, 15.55, 
