Time,จุดตรวจววัด,วันที่,เวลา,Particulate(mg/m3),SO2(ppm),NOx(ppm),
2022-11-20 23:16:09, Stack 1, 2022-11-20, 22:00:00, 455.83, 193.49, 48.65, 
2022-11-20 23:16:09, Stack 2, 2022-11-20, 22:00:00, 44.25, 361.85, 265.56, 
