Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),CO(ppm),O2(%),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 48.26, 0.01, 14.43, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, ETC, ETC, ETC, 
