Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, Stack 1, 2022-11-20, 22:00:00, 98.12, 13.92, 
2022-11-20 23:16:09, Stack 2, 2022-11-20, 22:00:00, NODATA, NODATA, 
