Time,จุดตรวจววัด,วันที่,เวลา,CO(ppm),NOx(ppm),SO2(ppm),O2(%),HCl(mg/m3),Opacity(%),Temp.(°C),Flow(m3/hr),
2022-11-20 23:16:09, Stack1, 2022-11-20, 22:00:00, 9.96, 131.68, 0, 8.87, 10.81, 0.01, 135.93, 129527.24, 
2022-11-20 23:16:09, Stack2, 2022-11-20, 22:00:00, 8.05, 139.98, 0, 9.03, 9.25, 0, 140.6, 118928.83, 
