Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),Opacity(%),O2(%),
2022-11-20 23:16:09, TP1, 2022-11-20, 22:00:00, 0, 0, 1.28, 19.82, 
2022-11-20 23:16:09, TP2, 2022-11-20, 22:00:00, 0, 0, 2.6, 20.31, 
