Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),Particulate(mg/m3),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 35.82, 0, 2, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, 
