Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, HRSG#1, 2022-11-20, 22:00:00, 5.51, 14.83, 
2022-11-20 23:16:09, HRSG#2, 2022-11-20, 22:00:00, 5.88, 14.44, 
