Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),O2(%),Particulate(mg/m3),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, HRSG21, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, HRSG22, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
