Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),CO(ppm),O2(%),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 0, 2.42, 21.21, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, 0, 1.44, 14.54, 
