Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),Particulate(mg/m3),
2022-11-20 23:16:09, Stack1, 2022-11-20, 22:00:00, 11.5, 0, 3.56, 
2022-11-20 23:16:09, Stack2, 2022-11-20, 22:00:00, 22.61, 2.32, 2.29, 
