Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 28.07, 14.44, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, 18.61, 14.42, 
