Time,จุดตรวจววัด,วันที่,เวลา,CO(ppm),NOx(ppm),SO2(ppm),Particulate(mg/m3),O2(%),Flow(m3/hr),Temp.(°C),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 0, 44.44, 0.9, 6.3, 14.47, 627130.78, 113.53, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 21.12, 269.09, 49.56, 
