Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, ABP-41, 2022-11-20, 22:00:00, 34.99, 14.07, 
2022-11-20 23:16:09, ABP-42, 2022-11-20, 22:00:00, 0.51, 21.05, 
