Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 37.34, 13.95, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, 
