Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, ABP-51, 2022-11-20, 22:00:00, 30.92, 14.04, 
2022-11-20 23:16:09, ABP-52, 2022-11-20, 22:00:00, ERR, 20.83, 
