Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, Stack 1, 2022-11-20, 22:00:00, 8.75, 14.69, 
2022-11-20 23:16:09, Stack 2, 2022-11-20, 22:00:00, 25.51, 14.63, 
