Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, HRSG#11, 2022-11-20, 22:00:00, 18.19, 14.96, 
2022-11-20 23:16:09, HRSG#12, 2022-11-20, 22:00:00, ETC, ETC, 
