Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),Particulate(mg/m3),
2022-11-20 23:16:09, Stack1/2, 2022-11-20, 22:00:00, 0, 0, 0, 
2022-11-20 23:16:09, Stack2/2, 2022-11-20, 22:00:00, 3.4, 1.39, 0.33, 
