Time,จุดตรวจววัด,วันที่,เวลา,SO2(ppm),NOx(ppm),O2(%),
2022-11-20 23:16:09, VDU, 2022-11-20, 22:00:00, 42.12, 22.55, 6.28, 
2022-11-20 23:16:09, SRU, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, 
