Time,จุดตรวจววัด,วันที่,เวลา,SO2(ppm),NOx(ppm),
2022-11-20 23:16:09, HRSG#1, 2022-11-20, 22:00:00, 0, 23.05, 
2022-11-20 23:16:09, HRSG#2, 2022-11-20, 22:00:00, 0, 18.25, 
