Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),SO2(ppm),O2(%),Particulate(mg/m3),
2022-11-20 23:16:09, Stack 1/4, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, Stack 2/4, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, Stack 3/4, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
2022-11-20 23:16:09, Stack 4/4, 2022-11-20, 22:00:00, SHTDWN, SHTDWN, SHTDWN, SHTDWN, 
