Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),CO(ppm),SO2(ppm),
2022-11-20 23:16:09, HRSG1, 2022-11-20, 22:00:00, 19.44, 13.43, 57.1, 0.73, 
2022-11-20 23:16:09, HRSG2, 2022-11-20, 22:00:00, 12.1, 13.45, 64.59, 0.79, 
