Time,จุดตรวจววัด,วันที่,เวลา,O2(%),NOx(ppm),
2022-11-20 23:16:09, HRSG11, 2022-11-20, 22:00:00, 13.65, 37.6, 
2022-11-20 23:16:09, HRSG12, 2022-11-20, 22:00:00, 21.11, 0, 
