Time,จุดตรวจววัด,วันที่,เวลา,NOx(ppm),O2(%),
2022-11-20 23:16:09, HRSG#11, 2022-11-20, 22:00:00, 13.93, 14.52, 
2022-11-20 23:16:09, HRSG#12, 2022-11-20, 22:00:00, 0, 20.24, 
2022-11-20 23:16:09, HRSG#21, 2022-11-20, 22:00:00, 30.14, 14.67, 
2022-11-20 23:16:09, HRSG#22, 2022-11-20, 22:00:00, 27.2, 15.02, 
